Economy_Label;Partner_Label;US_at_current_prices_in_thousands_Value
Austria;Belgium;3797169
Austria;Bulgaria;1317037
Austria;China;5740147
Austria;HongKong;497441
Austria;Macao;11895
Austria;Taiwan;692616
Austria;Croatia;2160192
Austria;Cyprus;119568
Austria;Czechia;7340088
Austria;Denmark;1139993
Austria;Estonia;234747
Austria;Finland;728069
Austria;France;7733955
Austria;Germany;62474889
Austria;Greece;856400
Austria;Hungary;7564041
Austria;India;1416526
Austria;Ireland;732623
Austria;Italy;12871114
Austria;Japan;1712288
Austria;Latvia;213824
Austria;Lithuania;494838
Austria;Luxembourg;238082
Austria;Malta;40360
Austria;Netherlands;3882909
Austria;Norway;617531
Austria;Poland;8332741
Austria;Portugal;638516
Austria;Korea;1328726
Austria;Romania;4010254
Austria;Slovakia;8528253
Austria;Slovenia;4459568
Austria;Spain;3688786
Austria;Sweden;1955540
Austria;Switzerland;10678709
Austria;UK;5337101
Belgium;Austria;3468605
Belgium;Bulgaria;1008909
Belgium;China;6726183
Belgium;HongKong;1550985
Belgium;Macao;8972
Belgium;Taiwan;1446821
Belgium;Croatia;589726
Belgium;Cyprus;196624
Belgium;Czechia;3982959
Belgium;Denmark;2940554
Belgium;Estonia;468337
Belgium;Finland;1894151
Belgium;France;48031775
Belgium;Germany;57478077
Belgium;Greece;1824747
Belgium;Hungary;2408289
Belgium;India;3971316
Belgium;Ireland;3226111
Belgium;Italy;17207214
Belgium;Japan;2882566
Belgium;Latvia;338930
Belgium;Lithuania;941500
Belgium;Luxembourg;6818109
Belgium;Malta;127649
Belgium;Netherlands;48797699
Belgium;Norway;3185064
Belgium;Poland;10805260
Belgium;Portugal;2346615
Belgium;Korea;2029250
Belgium;Romania;2600988
Belgium;Slovakia;1222786
Belgium;Slovenia;740624
Belgium;Spain;12137112
Belgium;Sweden;6663613
Belgium;Switzerland;5086368
Belgium;UK;23863229
Bulgaria;Austria;721170
Bulgaria;Belgium;993496
Bulgaria;China;988878
Bulgaria;HongKong;122322
Bulgaria;Macao;2462
Bulgaria;Taiwan;64192
Bulgaria;Croatia;545914
Bulgaria;Cyprus;116897
Bulgaria;Czechia;1194394
Bulgaria;Denmark;211848
Bulgaria;Estonia;34266
Bulgaria;Finland;104552
Bulgaria;France;1435020
Bulgaria;Germany;6823144
Bulgaria;Greece;2549577
Bulgaria;Hungary;629233
Bulgaria;India;170009
Bulgaria;Ireland;105806
Bulgaria;Italy;3423447
Bulgaria;Japan;105286
Bulgaria;Latvia;51283
Bulgaria;Lithuania;112578
Bulgaria;Luxembourg;13025
Bulgaria;Malta;25981
Bulgaria;Netherlands;869012
Bulgaria;Norway;95307
Bulgaria;Poland;2329402
Bulgaria;Portugal;128765
Bulgaria;Korea;208279
Bulgaria;Romania;5043177
Bulgaria;Slovakia;504392
Bulgaria;Slovenia;234895
Bulgaria;Spain;903846
Bulgaria;Sweden;355317
Bulgaria;Switzerland;460729
Bulgaria;UK;794966
China;Austria;4080377
China;Belgium;32774952
China;Bulgaria;2824841
China;HongKong;291609476
China;Macao;4067180
China;Taiwan;85411404
China;Croatia;2683196
China;Cyprus;1117622
China;Czechia;17472838
China;Denmark;9364062
China;Estonia;809588
China;Finland;3687149
China;France;44708956
China;Germany;106696682
China;Greece;11765859
China;Hungary;11336870
China;India;120161442
China;Ireland;5235743
China;Italy;45974386
China;Japan;151508812
China;Latvia;859905
China;Lithuania;1976947
China;Luxembourg;449307
China;Malta;4045123
China;Netherlands;90894032
China;Norway;4981663
China;Poland;39946473
China;Portugal;6074782
China;Korea;146823242
China;Romania;9298244
China;Slovakia;3936214
China;Slovenia;6103415
China;Spain;40620716
China;Sweden;10031775
China;Switzerland;7460527
China;UK;78573118
HongKong;Austria;724889
HongKong;Belgium;2100085
HongKong;Bulgaria;178620
HongKong;China;377803725
HongKong;Macao;8113690
HongKong;Taiwan;18354144
HongKong;Croatia;104377
HongKong;Cyprus;61202
HongKong;Czechia;1302588
HongKong;Denmark;363196
HongKong;Estonia;118368
HongKong;Finland;217846
HongKong;France;3932784
HongKong;Germany;6198080
HongKong;Greece;201857
HongKong;Hungary;1360655
HongKong;India;19136959
HongKong;Ireland;576292
HongKong;Italy;2882601
HongKong;Japan;10351370
HongKong;Latvia;85646
HongKong;Lithuania;174344
HongKong;Luxembourg;698561
HongKong;Malta;22423
HongKong;Netherlands;8967584
HongKong;Norway;116774
HongKong;Poland;1934040
HongKong;Portugal;283389
HongKong;Korea;9421164
HongKong;Romania;453074
HongKong;Slovakia;116049
HongKong;Slovenia;171664
HongKong;Spain;1511244
HongKong;Sweden;584607
HongKong;Switzerland;4939490
HongKong;UK;8531307
Macao;Austria;58
Macao;Belgium;5666
Macao;Bulgaria;1958
Macao;China;57195
Macao;HongKong;1376768
Macao;Taiwan;1971
Macao;Croatia;156
Macao;Cyprus;23
Macao;Czechia;3824
Macao;Denmark;653
Macao;Estonia;36
Macao;France;5137
Macao;Germany;6236
Macao;Greece;7
Macao;Hungary;2223
Macao;India;3862
Macao;Ireland;3399
Macao;Italy;9912
Macao;Japan;6619
Macao;Latvia;10
Macao;Lithuania;5
Macao;Luxembourg;13
Macao;Malta;5
Macao;Netherlands;3799
Macao;Norway;1177
Macao;Poland;1630
Macao;Portugal;162
Macao;Korea;1877
Macao;Romania;43
