Source;Target;Value
Austria;Belgium;5177995
Austria;Bulgaria;759509
Austria;China;6690467
Austria;HongKong;49156
Austria;Macao;57
Austria;Taiwan;811339
Austria;Croatia;1144338
Austria;Cyprus;26967
Austria;Czechia;10851097
Austria;Denmark;996157
Austria;Estonia;89371
Austria;Finland;575902
Austria;France;5293769
Austria;Germany;84095339
Austria;Greece;357500
Austria;Hungary;5696806
Austria;India;1784053
Austria;Ireland;769634
Austria;Italy;13334871
Austria;Japan;1379330
Austria;Latvia;94596
Austria;Lithuania;262627
Austria;Luxembourg;593131
Austria;Malta;17829
Austria;Netherlands;11069519
Austria;Norway;137371
Austria;Poland;6909879
Austria;Portugal;397376
Austria;Korea;1572079
Austria;Romania;1945957
Austria;Slovakia;6602251
Austria;Slovenia;3628604
Austria;Spain;3052525
Austria;Sweden;2249930
Austria;Switzerland;7968578
Austria;UK;1624154
Belgium;Austria;2736650
Belgium;Belgium;31
Belgium;Bulgaria;971240
Belgium;China;12853077
Belgium;HongKong;150343
Belgium;Macao;4430
Belgium;Taiwan;1403776
Belgium;Croatia;220873
Belgium;Cyprus;26560
Belgium;Czechia;4747797
Belgium;Denmark;1751258
Belgium;Estonia;267326
Belgium;Finland;1523045
Belgium;France;42142799
Belgium;Germany;49440627
Belgium;Greece;326139
Belgium;Hungary;2307166
Belgium;India;3748460
Belgium;Ireland;10100730
Belgium;Italy;16862225
Belgium;Japan;8553755
Belgium;Latvia;150238
Belgium;Lithuania;389262
Belgium;Luxembourg;1459159
Belgium;Malta;90958
Belgium;Netherlands;87426876
Belgium;Norway;7158695
Belgium;Poland;6028404
Belgium;Portugal;1600550
Belgium;Korea;2556922
Belgium;Romania;1313039
Belgium;Slovakia;1584569
Belgium;Slovenia;380452
Belgium;Spain;9242772
Belgium;Sweden;8099737
Belgium;Switzerland;9823410
Belgium;UK;10642584
Bulgaria;Austria;1181955
Bulgaria;Belgium;1016460
Bulgaria;Bulgaria;301194
Bulgaria;China;3540509
Bulgaria;HongKong;170614
Bulgaria;Macao;1909
Bulgaria;Taiwan;188331
Bulgaria;Croatia;183770
Bulgaria;Cyprus;48432
Bulgaria;Czechia;1370971
Bulgaria;Denmark;251338
Bulgaria;Estonia;191450
Bulgaria;Finland;131237
Bulgaria;France;1266002
Bulgaria;Germany;6108298
Bulgaria;Greece;2637788
Bulgaria;Hungary;1706448
Bulgaria;India;277314
Bulgaria;Ireland;209668
Bulgaria;Italy;3311549
Bulgaria;Japan;204010
Bulgaria;Latvia;52726
Bulgaria;Lithuania;164984
Bulgaria;Luxembourg;37139
Bulgaria;Malta;9005
Bulgaria;Netherlands;1979060
Bulgaria;Norway;493070
Bulgaria;Poland;2114933
Bulgaria;Portugal;141844
Bulgaria;Korea;279643
Bulgaria;Romania;3780056
Bulgaria;Slovakia;706150
Bulgaria;Slovenia;425045
Bulgaria;Spain;998709
Bulgaria;Sweden;382071
Bulgaria;Switzerland;649799
Bulgaria;UK;555616
China;Austria;8540341
China;Belgium;6527057
China;Bulgaria;1260919
China;HongKong;19563315
China;Macao;77154
China;Taiwan;229607632
China;Croatia;277005
China;Cyprus;26760
China;Czechia;5966955
China;Denmark;6349000
China;Estonia;351352
China;Finland;4734998
China;France;36747135
China;Germany;99432107
China;Greece;1103861
China;Hungary;5029269
China;India;18990988
China;Ireland;19034193
China;Italy;27642183
China;Japan;163962902
China;Latvia;299255
China;Lithuania;221636
China;Luxembourg;381624
China;Malta;505208
China;Netherlands;19717891
China;Norway;5439666
China;Poland;5136199
China;Portugal;3325125
China;Korea;190631014
China;Romania;4315264
China;Slovakia;6047609
China;Slovenia;534663
China;Spain;9653865
China;Sweden;9255465
China;Switzerland;58012294
China;UK;20543935
HongKong;Austria;661462
HongKong;Belgium;2086295
HongKong;Bulgaria;94589
HongKong;China;285645307
HongKong;Macao;1744699
HongKong;Taiwan;71818502
HongKong;Croatia;19527
HongKong;Cyprus;16056
HongKong;Czechia;274146
HongKong;Denmark;222888
HongKong;Estonia;31408
HongKong;Finland;50815
HongKong;France;6232377
HongKong;Germany;6895873
HongKong;Greece;44956
HongKong;Hungary;346247
HongKong;India;8287553
HongKong;Ireland;640512
HongKong;Italy;5479216
HongKong;Japan;39147643
HongKong;Latvia;21776
HongKong;Lithuania;19014
HongKong;Luxembourg;913877
HongKong;Malta;234010
HongKong;Netherlands;2028850
HongKong;Norway;194001
HongKong;Poland;271837
HongKong;Portugal;111453
HongKong;Korea;37938114
HongKong;Romania;61006
HongKong;Slovakia;32123
HongKong;Slovenia;70573
HongKong;Spain;867516
HongKong;Sweden;261488
HongKong;Switzerland;13364556
HongKong;UK;11143993
Macao;Austria;28913
Macao;Belgium;30521
Macao;Bulgaria;5189
Macao;China;4781051
Macao;HongKong;804857
Macao;Taiwan;173701
Macao;Croatia;796
Macao;Cyprus;1245
Macao;Czechia;7406
Macao;Denmark;22122
Macao;Estonia;78
Macao;Finland;1755
Macao;France;2090734
Macao;Germany;217467
Macao;Greece;3309
Macao;Hungary;5417
Macao;India;23157
Macao;Ireland;64131
Macao;Italy;1909050
Macao;Japan;1137221
Macao;Latvia;101
Macao;Lithuania;629
Macao;Luxembourg;294
Macao;Malta;334
Macao;Netherlands;103988
Macao;Norway;15921
Macao;Poland;16640
Macao;Portugal;37633
Macao;Korea;132058
Macao;Romania;29864
Macao;Slovakia;3495
Macao;Slovenia;8665
Macao;Spain;74580
Macao;Sweden;27287
Macao;Switzerland;922086
Macao;UK;249989
Taiwan;Austria;1130033
Taiwan;Belgium;931126
Taiwan;Bulgaria;103737
Taiwan;China;84359398
Taiwan;HongKong;1687911
Taiwan;Macao;7662
Taiwan;Croatia;19293
Taiwan;Cyprus;7818
Taiwan;Czechia;574440
Taiwan;Denmark;898508
Taiwan;Estonia;46562
Taiwan;Finland;439033
Taiwan;France;4568617
Taiwan;Germany;15391885
Taiwan;Greece;59716
Taiwan;Hungary;476887
Taiwan;India;2882748
Taiwan;Ireland;919800
Taiwan;Italy;3703642
Taiwan;Japan;54220607
Taiwan;Latvia;13705
Taiwan;Lithuania;45446
Taiwan;Luxembourg;43856
Taiwan;Malta;40321
Taiwan;Netherlands;9537155
Taiwan;Norway;445786
Taiwan;Poland;460976
Taiwan;Portugal;230608
Taiwan;Korea;33864754
Taiwan;Romania;167079
Taiwan;Slovakia;333732
Taiwan;Slovenia;57565
Taiwan;Spain;1025826
Taiwan;Sweden;1062126
Taiwan;Switzerland;2485046
Taiwan;UK;2941969
Croatia;Austria;2431105
Croatia;Belgium;729199
Croatia;Bulgaria;579793
Croatia;China;1565829
Croatia;HongKong;3596
Croatia;Macao;152
Croatia;Taiwan;40687
Croatia;Cyprus;18515
Croatia;Czechia;1028394
Croatia;Denmark;333856
Croatia;Estonia;26812
Croatia;Finland;68202
Croatia;France;1798546
Croatia;Germany;6502378
Croatia;Greece;459823
Croatia;Hungary;3026104
Croatia;India;210870
Croatia;Ireland;143503
Croatia;Italy;6114412
Croatia;Japan;65064
Croatia;Latvia;17797
Croatia;Lithuania;82085
Croatia;Luxembourg;17278
Croatia;Malta;6293
Croatia;Netherlands;1803521
Croatia;Norway;107059
Croatia;Poland;1836261
Croatia;Portugal;63975
Croatia;Korea;75817
Croatia;Romania;605683
Croatia;Slovakia;1012931
Croatia;Slovenia;5376334
Croatia;Spain;1094320
Croatia;Sweden;324124
Croatia;Switzerland;270282
Croatia;UK;167150
Cyprus;Austria;86583
Cyprus;Belgium;235064
Cyprus;Bulgaria;100426
Cyprus;China;1046153
Cyprus;HongKong;68554
Cyprus;Macao;22
Cyprus;Taiwan;30114
Cyprus;Croatia;29296
Cyprus;Czechia;81170
Cyprus;Denmark;61771
Cyprus;Estonia;5796
Cyprus;Finland;32221
Cyprus;France;285057
Cyprus;Germany;765705
Cyprus;Greece;3167417
Cyprus;Hungary;49521
Cyprus;India;100067
Cyprus;Ireland;141024
Cyprus;Italy;1023657
Cyprus;Japan;246692
Cyprus;Latvia;9317
Cyprus;Lithuania;14724
Cyprus;Luxembourg;8453
Cyprus;Malta;25504
Cyprus;Netherlands;569804
Cyprus;Norway;8155
Cyprus;Poland;108912
Cyprus;Portugal;37170
Cyprus;Korea;66636
Cyprus;Romania;86016
Cyprus;Slovakia;60629
Cyprus;Slovenia;29546
Cyprus;Spain;663093
Cyprus;Sweden;125939
Cyprus;Switzerland;92892
Cyprus;UK;403227
Czechia;Austria;5738774
Czechia;Belgium;3520188
Czechia;Bulgaria;1321531
Czechia;China;39210201
Czechia;HongKong;107226
Czechia;Macao;7426
Czechia;Taiwan;2477345
Czechia;Croatia;270846
Czechia;Cyprus;48214
Czechia;Denmark;1460530
Czechia;Estonia;180427
Czechia;Finland;666967
Czechia;France;6782585
Czechia;Germany;46630775
Czechia;Greece;539121
Czechia;Hungary;5140552
Czechia;India;3075088
Czechia;Ireland;1054193
Czechia;Italy;8833265
Czechia;Japan;4213976
Czechia;Latvia;141107
Czechia;Lithuania;451369
Czechia;Luxembourg;247176
Czechia;Malta;50487
Czechia;Netherlands;5978234
Czechia;Norway;2407604
Czechia;Poland;18960611
Czechia;Portugal;845256
Czechia;Korea;4555376
Czechia;Romania;3297847
Czechia;Slovakia;10411895
Czechia;Slovenia;1071159
Czechia;Spain;4415888
Czechia;Sweden;1826013
Czechia;Switzerland;2205386
Czechia;UK;3683020
Denmark;Austria;1076320
Denmark;Belgium;4052784
Denmark;Bulgaria;226486
Denmark;China;8711459
Denmark;HongKong;115869
Denmark;Macao;1273
Denmark;Taiwan;473425
Denmark;Croatia;102809
Denmark;Cyprus;20610
Denmark;Czechia;2161924
Denmark;Estonia;562746
Denmark;Finland;1430241
Denmark;France;3751195
Denmark;Germany;23584444
Denmark;Greece;212836
Denmark;Hungary;767978
Denmark;India;1067070
Denmark;Ireland;889102
Denmark;Italy;4291831
Denmark;Japan;557421
Denmark;Latvia;859233
Denmark;Lithuania;973251
Denmark;Luxembourg;285184
Denmark;Malta;39037
Denmark;Netherlands;11034571
Denmark;Norway;5498668
Denmark;Poland;5827310
Denmark;Portugal;506673
Denmark;Korea;2409342
Denmark;Romania;309357
Denmark;Slovakia;440783
Denmark;Slovenia;514130
Denmark;Spain;2401720
Denmark;Sweden;14169698
Denmark;Switzerland;859098
Denmark;UK;2527941
Estonia;Austria;210369
Estonia;Belgium;479417
Estonia;Bulgaria;33697
Estonia;China;1345844
Estonia;HongKong;62715
Estonia;Macao;64
Estonia;Taiwan;118139
Estonia;Croatia;13334
Estonia;Cyprus;9765
Estonia;Czechia;583761
Estonia;Denmark;377541
Estonia;Estonia;109871
Estonia;Finland;2474732
Estonia;France;500738
Estonia;Germany;2520681
Estonia;Greece;62411
Estonia;Hungary;123677
Estonia;India;96429
Estonia;Ireland;38056
Estonia;Italy;675910
Estonia;Japan;285951
Estonia;Latvia;1984738
Estonia;Lithuania;2086951
Estonia;Luxembourg;12158
Estonia;Malta;4753
Estonia;Netherlands;1089537
Estonia;Norway;253910
Estonia;Poland;1620643
Estonia;Portugal;65190
Estonia;Korea;110633
Estonia;Romania;81944
Estonia;Slovakia;167367
Estonia;Slovenia;97904
Estonia;Spain;379374
Estonia;Sweden;1574636
Estonia;Switzerland;291890
Estonia;UK;271466
Finland;Austria;795967
Finland;Belgium;1878868
Finland;Bulgaria;135615
Finland;China;7997464
Finland;HongKong;56946
Finland;Macao;115
Finland;Taiwan;624222
Finland;Croatia;51258
Finland;Cyprus;26875
Finland;Czechia;1054348
Finland;Denmark;2021328
Finland;Estonia;2492505
Finland;France;2302028
Finland;Germany;10646229
Finland;Greece;125087
Finland;Hungary;497142
Finland;India;695897
Finland;Ireland;465508
Finland;Italy;2373862
Finland;Japan;891930
Finland;Latvia;556528
Finland;Lithuania;701424
Finland;Luxembourg;84606
Finland;Malta;15750
Finland;Netherlands;3831568
Finland;Norway;5931276
Finland;Poland;2723784
Finland;Portugal;575113
Finland;Korea;764191
Finland;Romania;295286
Finland;Slovakia;351331
Finland;Slovenia;162050
Finland;Spain;1843451
Finland;Sweden;9242600
Finland;Switzerland;747837
Finland;UK;2116011
France;Austria;7644269
France;Belgium;79080157
France;Bulgaria;1425326
France;China;47518035
France;HongKong;760423
France;Macao;8302
France;Taiwan;3332463
France;Croatia;518477
France;Cyprus;125600
France;Czechia;10716056
France;Denmark;5478888
France;Estonia;322707
France;Finland;2497524
France;Germany;115406319
France;Greece;1248702
France;Hungary;5280887
France;India;8355608
France;Ireland;8812283
France;Italy;59463128
France;Japan;5693186
France;Latvia;403804
France;Lithuania;896140
France;Luxembourg;2756112
France;Malta;122970
France;Netherlands;67203779
France;Norway;3188095
France;Poland;18385942
France;Portugal;8585677
France;Korea;6462071
France;Romania;6303023
France;Slovakia;4492920
France;Slovenia;2108718
France;Spain;57760606
France;Sweden;8792883
France;Switzerland;18524562
France;UK;27235528
Germany;Austria;53757958
Germany;Belgium;49613012
Germany;Bulgaria;7140037
Germany;China;174529505
Germany;HongKong;1237517
Germany;Macao;15100
Germany;Taiwan;15472680
Germany;Croatia;2713120
Germany;Cyprus;139354
Germany;Czechia;65382781
Germany;Denmark;15993609
Germany;Estonia;1029545
Germany;Finland;9920829
Germany;France;73206811
Germany;Greece;3734384
