"";"name";"continent";"color";"strength";"iso3";"label";"eigenv";"between";"closen"
"Afghanistan";"Afghanistan";"Asia";"gold";5722130,769;"AFG";"AFG";0,00100991877922098;0;0,000417134941460505
"Albania";"Albania";"Europe";"skyblue";9716228,613;"ALB";"ALB";0,00171322338002829;0;0,000421807612160474
"Algeria";"Algeria";"Africa";"tomato";43621474,967;"DZA";"DZA";0,0149807063749573;0;0,000437539005033584
"American Samoa";"American Samoa";"Oceania";"orchid";253973,205;"ASM";"ASM";2,27907520760255e-05;0;0,0002368149323584
"Andorra";"Andorra";"Europe";"skyblue";1870278,766;"AND";"AND";0,000175888882531305;0;0,000417378756027892
"Angola";"Angola";"Africa";"tomato";14536768,346;"AGO";"AGO";0,013783965062203;0;0,000425836039546717
"Antigua and Barbuda";"Antigua and Barbuda";"Americas";"palegreen3";996406,517;"ATG";"ATG";0,000388644037028555;0;0,000375179971240173
"Azerbaijan";"Azerbaijan";"Asia";"gold";24300977,763;"AZE";"AZE";0,00600860059374482;0;0,000430573265869688
"Argentina";"Argentina";"Americas";"palegreen3";59638711,949;"ARG";"ARG";0,02490506123013;0;0,000437531911278983
"Australia";"Australia";"Oceania";"orchid";287224026,958;"AUS";"AUS";0,170342850746113;601;0,000440342407688285
"Austria";"Austria";"Europe";"skyblue";208697739,913;"AUT";"AUT";0,0713868826438437;0;0,000440296294479039
"Bahamas";"Bahamas";"Americas";"palegreen3";8111612,622;"BHS";"BHS";0,00388118611436056;0;0,000432542896470457
"Bahrain";"Bahrain";"Asia";"gold";17053788,872;"BHR";"BHR";0,00472677870919161;0;0,00042506870379114
"Bangladesh";"Bangladesh";"Asia";"gold";63551755,812;"BGD";"BGD";0,0269900947781322;401;0,000439232353004932
"Armenia";"Armenia";"Asia";"gold";17355431,329;"ARM";"ARM";0,00365536057383709;201;0,000436417792284558
"Barbados";"Barbados";"Americas";"palegreen3";2360358,781;"BRB";"BRB";0,000683395303862837;201;0,000401139712582263
