Economy_Label,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Individual economies",,,"Not applicable"
"Afghanistan",18283,,
"Albania",27037,,
"Algeria",266972,,
"Andorra",4040,,
"Angola",117159,,
"Anguilla",456,,
"Antigua and Barbuda",2162,,
"Argentina",638365,,
"Armenia",25955,,
"Aruba",4192,,
"Australia",1830610,,
"Austria",534791,,
"Azerbaijan",74316,,
"Bahamas",15833,,
"Bahrain",47110,,
"Bangladesh",432742,,
"Barbados",7598,,
"Belarus",75962,,
"Belgium",664564,,
"Belize",3204,,
"Benin",21483,,
"Bermuda",8840,,
"Bhutan",3347,,
"Bolivia (Plurinational State of)",46627,,
"Bosnia and Herzegovina",30478,,
"Botswana",19401,,
"Brazil",2185822,,
"British Virgin Islands",1830,,
"Brunei Darussalam",15463,,
"Bulgaria",113343,,
"Burkina Faso",23250,,
"Burundi",4431,,
"Cabo Verde",2768,,
"Cambodia",45913,,
"Cameroon",53297,,
"Canada",2270076,,
"Cayman Islands",7657,,
"Central African Republic",2752,,
"Chad",19906,,
"Chile",330267,,
"China",18743802,,
"China, Hong Kong SAR",406863,,
"China, Macao SAR",49467,,
"China, Taiwan Province of",797004,,
"Colombia",418542,,
"Comoros",1567,,
"Congo",16412,,
"Cook Islands",414,,
"Costa Rica",95350,,
"Cote d'Ivoire",85894,,
"Croatia",92662,,
"Cuba",252063,,
"Curacao",3561,,
"Cyprus",37635,,
"Czechia",345037,,
"Dem. People's Rep. of Korea",17199,,
"Dem. Rep. of the Congo",75322,,
"Denmark",424525,,
"Djibouti",4152,,
"Dominica",689,,
"Dominican Republic",124282,,
"Ecuador",124676,,
"Egypt",306907,,
"El Salvador",35365,,
"Equatorial Guinea",12288,,
"Eritrea",1917,,
"Estonia",42765,,
"Eswatini",4947,,
"Ethiopia",142275,,
"Fiji",5968,,
"Finland",298697,,
"France",3160443,,
"French Polynesia",6323,,
"Gabon",20867,,
"Gambia",2372,,
"Georgia",34192,,
"Germany",4659929,,
"Ghana",82938,,
"Greece",257145,,
"Greenland",3466,,
"Grenada",1372,,
"Guatemala",113200,,
"Guinea",36465,,
"Guinea-Bissau",2008,,
"Guyana",24659,,
"Haiti",25312,,
"Honduras",37094,,
"Hungary",222905,,
"Iceland",33222,,
"India",3952244,,
"Indonesia",1396300,,
"Iran (Islamic Republic of)",448092,,
"Iraq",279641,,
"Ireland",577389,,
"Israel",542286,,
"Italy",2380825,,
"Jamaica",22014,,
"Japan",4026211,,
"Jordan",53352,,
"Kazakhstan",291480,,
"Kenya",120340,,
"Kiribati",343,,
"Kosovo",11154,,
"Kuwait",160227,,
"Kyrgyzstan",17478,,
"Lao People's Dem. Rep.",16129,,
"Latvia",43684,,
"Lebanon",37990,,
"Lesotho",2391,,
"Liberia",5251,,
"Libya",48484,,
"Liechtenstein",8628,,
"Lithuania",84869,,
"Luxembourg",93280,,
"Madagascar",17421,,
"Malawi",11734,,
"Malaysia",421972,,
"Maldives",7062,,
"Mali",26588,,
"Malta",25030,,
"Marshall Islands",281,,
"Mauritania",10912,,
"Mauritius",14953,,
"Mexico",1852723,,
"Micronesia (Federated States of)",471,,
"Monaco",11126,,
"Mongolia",23586,,
"Montenegro",8274,,
"Montserrat",81,,
"Morocco",160606,,
"Mozambique",22745,,
"Myanmar",64796,,
"Namibia",13372,,
"Nauru",187,,
"Nepal",42692,,
"Netherlands (Kingdom of the)",1214928,,
"New Caledonia",8549,,
"New Zealand",260172,,
"Nicaragua",19694,,
"Niger",17491,,
"Nigeria",252084,,
"North Macedonia",16952,,
"Norway",483593,,
"Oman",107137,,
"Pakistan",379120,,
"Palau",310,,
"Panama",86260,,
"Papua New Guinea",32262,,
"Paraguay",44739,,
"Peru",289329,,
"Philippines",461618,,
"Poland",914696,,
"Portugal",313271,,
"Puerto Rico",125842,,
"Qatar",219163,,
"Republic of Korea",1875388,,
"Republic of Moldova",18200,,
"Romania",382770,,
"Russian Federation",2173386,,
"Rwanda",15111,,
"Saint Kitts and Nevis",1122,,
"Saint Lucia",2574,,
"Saint Vincent and the Grenadines",1136,,
"Samoa",1253,,
"San Marino",2082,,
"Sao Tome and Principe",828,,
"Saudi Arabia",1254141,,
"Senegal",36715,,
"Serbia",89074,,
"Serbia and Montenegro",,,"Not applicable"
"Seychelles",2162,,
"Sierra Leone",6792,,
"Singapore",547387,,
"Sint Maarten (Dutch part)",1670,,
"Slovakia",141776,,
"Slovenia",72485,,
"Solomon Islands",1584,,
"Somalia",11966,,
"South Africa",401145,,
"South Sudan",3522,,
"Spain",1722746,,
"Sri Lanka",98714,,
"State of Palestine",16017,,
"Sudan",25574,,
"Suriname",4435,,
"Sweden",604899,,
"Switzerland",936564,,
"Syrian Arab Republic",17254,,
"Tajikistan",13949,,
"Thailand",526518,,
"Timor-Leste",1866,,
"Togo",10163,,
"Tonga",648,,
"Trinidad and Tobago",25634,,
"Tunisia",53493,,
"Turkiye",1323255,,
"Turkmenistan",68655,,
"Turks and Caicos Islands",1757,,
"Tuvalu",56,,
"Uganda",56369,,
"Ukraine",190741,,
"United Arab Emirates",552325,,
"United Kingdom",3685881,,
"United Republic of Tanzania",81766,,
"United States",29298000,,
"Uruguay",80962,,
"Uzbekistan",114965,,
"Vanuatu",1092,,
"Venezuela (Bolivarian Rep. of)",150494,,
"Viet Nam",476388,,
"Yemen",14304,,
"Zambia",25303,,
"Zimbabwe",45719,,
