Economy_Label,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"Individual economies",,,"Not applicable"
"Albania",15339,,
"Algeria",38299,,
"Angola",12139,,
"Anguilla",1367,"Asset/liability basis.",
"Antigua and Barbuda",2688,"Asset/liability basis.",
"Argentina",175538,,
"Armenia",7754,,
"Aruba",4612,,
"Australia",796031,,
"Austria",220146,,
"Azerbaijan",27503,,
"Bahamas",30584,,
"Bahrain",45948,,
"Bangladesh",18294,,
"Barbados",9072,,
"Belarus",16655,,
"Belgium",461716,,
"Belize",2764,,
"Benin",4019,,
"Bermuda",2998,,
"Bhutan",538,,
"Bolivia (Plurinational State of)",9566,,
"Bosnia and Herzegovina",11428,,
"Botswana",6550,,
"Brazil",914328,,
"British Virgin Islands",1121844,,
"Brunei Darussalam",6326,,
"Bulgaria",59924,,
"Burkina Faso",3486,,
"Burundi",315,,
"Cabo Verde",2559,,
"Cambodia",52667,,
"Cameroon",8208,,
"Canada",1818788,,
"Cayman Islands",636963,,
"Central African Republic",794,,
"Chad",10305,,
"Chile",266950,,
"China",3650268,,
"China, Hong Kong SAR",2350740,,
"China, Macao SAR",51122,,
"China, Taiwan Province of",147512,"Asset/liability basis.",
"Colombia",267442,,
"Comoros",158,,
"Congo",35256,,
"Cook Islands",189,,
"Costa Rica",60584,,
"Cote d'Ivoire",19374,,
"Croatia",58806,,
"Curacao",1390,,
"Cyprus",75126,,
"Czechia",215889,,
"Dem. People's Rep. of Korea",981,,
"Dem. Rep. of the Congo",36684,,
"Denmark",173734,,
"Dominica",601,"Asset/liability basis.",
"Dominican Republic",60870,,
"Ecuador",23032,,
"Egypt",205243,,
"El Salvador",11390,,
"Equatorial Guinea",19399,,
"Eritrea",1003,,
"Estonia",35190,,
"Eswatini",1002,,
"Ethiopia",42528,,
"Fiji",5718,,
"Finland",92048,,
"France",1049213,,
"French Polynesia",1090,,
"Gabon",18886,,
"Gambia",1617,,
"Georgia",24703,,
"Germany",1209485,,
"Ghana",49029,,
"Greece",68249,,
"Grenada",2437,"Asset/liability basis.",
"Guatemala",26417,,
"Guinea",7973,,
"Guinea-Bissau",362,,
"Guyana",34729,,
"Haiti",2104,,
"Honduras",19252,,
"Hungary",117177,,
"Iceland",10415,,
"India",547588,,
"Indonesia",305666,,
"Iran (Islamic Republic of)",64507,,
"Ireland",1170383,,
"Israel",265155,,
"Italy",493539,,
"Jamaica",18864,,
"Japan",219802,,
"Jordan",44043,,
"Kazakhstan",151307,,
"Kenya",12699,,
"Kiribati",15,,
"Kosovo",7722,,
"Kuwait",16693,,
"Kyrgyzstan",3961,,
"Lao People's Dem. Rep.",15393,,
"Latvia",27299,,
"Lebanon",73548,,
"Lesotho",809,,
"Liberia",12380,,
"Libya",18462,,
"Lithuania",35035,,
"Luxembourg",1143108,,
"Madagascar",4948,,
"Malawi",1248,,
"Malaysia",222706,,
"Maldives",8286,,
"Mali",7922,,
"Malta",22070,,
"Marshall Islands",165,,
"Mauritania",7767,,
"Mauritius",8154,,
"Mexico",720245,,
"Mongolia",33482,,
"Montenegro",6331,,
"Montserrat",50,"Asset/liability basis.",
"Morocco",61493,,
"Mozambique",60789,,
"Myanmar",41043,,
"Namibia",10995,,
"Nepal",2284,,
"Netherlands (Kingdom of the)",2699359,,
"New Caledonia",18321,,
"New Zealand",90464,,
"Nicaragua",14787,,
"Niger",9895,,
"Nigeria",69210,,
"North Macedonia",8951,,
"Norway",149771,,
"Oman",64754,,
"Pakistan",29541,,
"Palau",1164,,
"Panama",67602,,
"Papua New Guinea",4511,,
"Paraguay",10229,,
"Peru",138837,,
"Philippines",125533,"Asset/liability basis.",
"Poland",345236,,
"Portugal",203795,,
"Qatar",27596,,
"Republic of Korea",286988,"Asset/liability basis.",
"Republic of Moldova",5389,,
"Romania",131074,,
"Russian Federation",216039,,
"Rwanda",4270,,
"Saint Kitts and Nevis",1729,"Asset/liability basis.",
"Saint Lucia",2181,"Asset/liability basis.",
"Saint Vincent and the Grenadines",1748,"Asset/liability basis.",
"Samoa",308,,
"Sao Tome and Principe",533,,
"Saudi Arabia",255030,,
"Senegal",19380,,
"Serbia",62461,,
"Seychelles",3775,,
"Sierra Leone",3225,,
"Singapore",2230874,"Asset/liability basis.",
"Sint Maarten (Dutch part)",261,,
"Slovakia",60743,,
"Slovenia",24053,,
"Solomon Islands",714,,
"Somalia",6408,,
"South Africa",113033,"Asset/liability basis.",
"Spain",867636,,
"Sri Lanka",16556,"Asset/liability basis.",
"State of Palestine",3297,,
"Suriname",1827,,
"Sweden",400603,,
"Switzerland",767035,,
"Syrian Arab Republic",10743,,
"Tajikistan",3976,,
"Thailand",336521,,
"Timor-Leste",1249,,
"Togo",1506,,
"Tonga",120,,
"Trinidad and Tobago",7669,,
"Tunisia",40932,,
"Turkiye",180025,,
"Turkmenistan",44560,,
"Tuvalu",9,,
"Uganda",22930,,
"Ukraine",54573,,
"United Arab Emirates",270619,,
"United Kingdom",3254442,,
"United Republic of Tanzania",21691,,
"United States",15567058,,
"Uruguay",36283,,
"Uzbekistan",16728,"Asset/liability basis.",
"Vanuatu",676,,
"Venezuela (Bolivarian Rep. of)",30460,,
"Viet Nam",249141,,
"Yemen",2661,,
"Zambia",16729,,
"Zimbabwe",7480,,
