Series Name,Series Code,Country Name,Country Code,2024 [YR2024]
"Labor force, total",SL.TLF.TOTL.IN,Afghanistan,AFG,9145340
"Labor force, total",SL.TLF.TOTL.IN,Albania,ALB,1265271
"Labor force, total",SL.TLF.TOTL.IN,Algeria,DZA,13425069
"Labor force, total",SL.TLF.TOTL.IN,American Samoa,ASM,..
"Labor force, total",SL.TLF.TOTL.IN,Andorra,AND,..
"Labor force, total",SL.TLF.TOTL.IN,Angola,AGO,15787244
"Labor force, total",SL.TLF.TOTL.IN,Antigua and Barbuda,ATG,..
"Labor force, total",SL.TLF.TOTL.IN,Argentina,ARG,22161435
"Labor force, total",SL.TLF.TOTL.IN,Armenia,ARM,1467933
"Labor force, total",SL.TLF.TOTL.IN,Aruba,ABW,..
"Labor force, total",SL.TLF.TOTL.IN,Australia,AUS,14907959
"Labor force, total",SL.TLF.TOTL.IN,Austria,AUT,4763195
"Labor force, total",SL.TLF.TOTL.IN,Azerbaijan,AZE,5097655
"Labor force, total",SL.TLF.TOTL.IN,"Bahamas, The",BHS,243754
"Labor force, total",SL.TLF.TOTL.IN,Bahrain,BHR,911274
"Labor force, total",SL.TLF.TOTL.IN,Bangladesh,BGD,73619393
"Labor force, total",SL.TLF.TOTL.IN,Barbados,BRB,151889
"Labor force, total",SL.TLF.TOTL.IN,Belarus,BLR,4835456
"Labor force, total",SL.TLF.TOTL.IN,Belgium,BEL,5432908
"Labor force, total",SL.TLF.TOTL.IN,Belize,BLZ,174087
"Labor force, total",SL.TLF.TOTL.IN,Benin,BEN,6447181
"Labor force, total",SL.TLF.TOTL.IN,Bermuda,BMU,..
"Labor force, total",SL.TLF.TOTL.IN,Bhutan,BTN,406288
"Labor force, total",SL.TLF.TOTL.IN,Bolivia,BOL,6827098
"Labor force, total",SL.TLF.TOTL.IN,Bosnia and Herzegovina,BIH,1354967
"Labor force, total",SL.TLF.TOTL.IN,Botswana,BWA,1173288
"Labor force, total",SL.TLF.TOTL.IN,Brazil,BRA,107871864
"Labor force, total",SL.TLF.TOTL.IN,British Virgin Islands,VGB,..
"Labor force, total",SL.TLF.TOTL.IN,Brunei Darussalam,BRN,236334
"Labor force, total",SL.TLF.TOTL.IN,Bulgaria,BGR,3100224
"Labor force, total",SL.TLF.TOTL.IN,Burkina Faso,BFA,9601936
"Labor force, total",SL.TLF.TOTL.IN,Burundi,BDI,6097715
"Labor force, total",SL.TLF.TOTL.IN,Cabo Verde,CPV,222880
"Labor force, total",SL.TLF.TOTL.IN,Cambodia,KHM,10200782
"Labor force, total",SL.TLF.TOTL.IN,Cameroon,CMR,11175287
"Labor force, total",SL.TLF.TOTL.IN,Canada,CAN,22690597
"Labor force, total",SL.TLF.TOTL.IN,Cayman Islands,CYM,..
"Labor force, total",SL.TLF.TOTL.IN,Central African Republic,CAF,1995930
"Labor force, total",SL.TLF.TOTL.IN,Chad,TCD,6524704
"Labor force, total",SL.TLF.TOTL.IN,Channel Islands,CHI,81828
"Labor force, total",SL.TLF.TOTL.IN,Chile,CHL,10223511
"Labor force, total",SL.TLF.TOTL.IN,China,CHN,768163717
"Labor force, total",SL.TLF.TOTL.IN,Colombia,COL,26786696
"Labor force, total",SL.TLF.TOTL.IN,Comoros,COM,301817
"Labor force, total",SL.TLF.TOTL.IN,"Congo, Dem. Rep.",COD,37985198
"Labor force, total",SL.TLF.TOTL.IN,"Congo, Rep.",COG,2558880
"Labor force, total",SL.TLF.TOTL.IN,Costa Rica,CRI,2402966
"Labor force, total",SL.TLF.TOTL.IN,Cote d'Ivoire,CIV,12671518
"Labor force, total",SL.TLF.TOTL.IN,Croatia,HRV,1742356
"Labor force, total",SL.TLF.TOTL.IN,Cuba,CUB,4895340
"Labor force, total",SL.TLF.TOTL.IN,Curacao,CUW,..
"Labor force, total",SL.TLF.TOTL.IN,Cyprus,CYP,765938
"Labor force, total",SL.TLF.TOTL.IN,Czechia,CZE,5593139
"Labor force, total",SL.TLF.TOTL.IN,Denmark,DNK,3277500
"Labor force, total",SL.TLF.TOTL.IN,Djibouti,DJI,263018
"Labor force, total",SL.TLF.TOTL.IN,Dominica,DMA,..
"Labor force, total",SL.TLF.TOTL.IN,Dominican Republic,DOM,5424140
"Labor force, total",SL.TLF.TOTL.IN,Ecuador,ECU,8842169
"Labor force, total",SL.TLF.TOTL.IN,"Egypt, Arab Rep.",EGY,35343331
"Labor force, total",SL.TLF.TOTL.IN,El Salvador,SLV,2951018
"Labor force, total",SL.TLF.TOTL.IN,Equatorial Guinea,GNQ,722907
"Labor force, total",SL.TLF.TOTL.IN,Eritrea,ERI,1713432
"Labor force, total",SL.TLF.TOTL.IN,Estonia,EST,757729
"Labor force, total",SL.TLF.TOTL.IN,Eswatini,SWZ,424113
"Labor force, total",SL.TLF.TOTL.IN,Ethiopia,ETH,55099611
"Labor force, total",SL.TLF.TOTL.IN,Faroe Islands,FRO,..
"Labor force, total",SL.TLF.TOTL.IN,Fiji,FJI,387456
"Labor force, total",SL.TLF.TOTL.IN,Finland,FIN,2871471
"Labor force, total",SL.TLF.TOTL.IN,France,FRA,31859898
"Labor force, total",SL.TLF.TOTL.IN,French Polynesia,PYF,120370
"Labor force, total",SL.TLF.TOTL.IN,Gabon,GAB,827520
"Labor force, total",SL.TLF.TOTL.IN,"Gambia, The",GMB,783461
"Labor force, total",SL.TLF.TOTL.IN,Georgia,GEO,1885370
"Labor force, total",SL.TLF.TOTL.IN,Germany,DEU,43801773
"Labor force, total",SL.TLF.TOTL.IN,Ghana,GHA,13049107
"Labor force, total",SL.TLF.TOTL.IN,Gibraltar,GIB,..
"Labor force, total",SL.TLF.TOTL.IN,Greece,GRC,4725479
"Labor force, total",SL.TLF.TOTL.IN,Greenland,GRL,..
"Labor force, total",SL.TLF.TOTL.IN,Grenada,GRD,..
"Labor force, total",SL.TLF.TOTL.IN,Guam,GUM,77324
"Labor force, total",SL.TLF.TOTL.IN,Guatemala,GTM,7519217
"Labor force, total",SL.TLF.TOTL.IN,Guinea,GIN,4603413
"Labor force, total",SL.TLF.TOTL.IN,Guinea-Bissau,GNB,872544
