Kraj_importujacy,Kraj_eksportujacy,Wartosc_importu
Afghanistan,Azerbaijan,513.728
Afghanistan,Australia,245.811
Afghanistan,Austria,17776.269
Afghanistan,Bahamas,0.009
Afghanistan,Barbados,60.861
Afghanistan,Belgium,50893.685
Afghanistan,Bosnia Herzegovina,954.8900000000001
Afghanistan,Brazil,3098.084
Afghanistan,Bulgaria,3120.727
Afghanistan,Cambodia,277.85
Afghanistan,Canada,2291.016
Afghanistan,Sri Lanka,729.337
Afghanistan,Chile,24.76
Afghanistan,China,1543499.519
Afghanistan,Croatia,613.968
Afghanistan,Cyprus,2615.42
Afghanistan,Czechia,2032.7350000000001
Afghanistan,Benin,0.495
Afghanistan,Denmark,10706.721
Afghanistan,El Salvador,0.44
Afghanistan,Estonia,52.749
Afghanistan,Finland,127.152
Afghanistan,France,27332.959
Afghanistan,Germany,71237.59
Afghanistan,Greece,4496.902
Afghanistan,"China, Hong Kong SAR",940.795
Afghanistan,Hungary,5899.544
Afghanistan,Indonesia,6251.237
Afghanistan,Ireland,2017.137
Afghanistan,Italy,17848.784
Afghanistan,Japan,6701.581
Afghanistan,Kazakhstan,527798.583
Afghanistan,Kenya,10168.016
Afghanistan,Rep. of Korea,35670.901
Afghanistan,Kuwait,476.257
Afghanistan,Kyrgyzstan,50488.994000000006
Afghanistan,Latvia,190.277
Afghanistan,Lithuania,2000.744
Afghanistan,Luxembourg,5656.378
Afghanistan,Malaysia,228642.909
Afghanistan,"Other Asia, nes",235.48
Afghanistan,Rep. of Moldova,167.129
Afghanistan,Montenegro,24.882
Afghanistan,Morocco,88.688
Afghanistan,Mozambique,139.73
Afghanistan,Netherlands,23477.358
Afghanistan,Norway,75.364
Afghanistan,Pakistan,1512982.529
Afghanistan,Philippines,939.527
Afghanistan,Poland,9532.721
Afghanistan,Portugal,2326.964
Afghanistan,Romania,2789.87
Afghanistan,Saudi Arabia,3101.982
Afghanistan,Serbia,548.902
Afghanistan,India,333522.3
Afghanistan,Singapore,706.562
Afghanistan,Slovakia,1163.885
Afghanistan,Slovenia,3170.634
Afghanistan,South Africa,3180.573
Afghanistan,Spain,9047.237
Afghanistan,Sweden,1624.679
Afghanistan,Switzerland,3399.36
Afghanistan,Thailand,13808.544
Afghanistan,Tunisia,461.242
Afghanistan,TÃ¼rkiye,210683.437
Afghanistan,Ukraine,775.82
Afghanistan,North Macedonia,65.565
Afghanistan,Egypt,933.917
Afghanistan,United Kingdom,7275.2300000000005
Afghanistan,United Rep. of Tanzania,35.045
Afghanistan,USA,10636.76
Afghanistan,Uzbekistan,921753.039
Albania,Algeria,58478.04
Albania,Azerbaijan,1827.0659999999998
Albania,Argentina,7458.765
Albania,Australia,1868.28
Albania,Austria,92683.463
Albania,Bahrain,20246.798000000003
Albania,Bangladesh,39121.787
Albania,Armenia,188.31699999999998
Albania,Barbados,5.615
Albania,Belgium,62632.426
Albania,Bolivia (Plurinational State of),49.287
Albania,Bosnia Herzegovina,27367.484
Albania,Brazil,98159.832
Albania,Bulgaria,280027.961
Albania,Myanmar,1625.175
Albania,Belarus,607.448
Albania,Cambodia,4133.51
Albania,Canada,70682.304
Albania,Sri Lanka,12093.603000000001
Albania,Chile,855.545
Albania,China,1188361.978
Albania,Colombia,12210.971
Albania,Costa Rica,648.279
Albania,Croatia,101723.138
Albania,Cuba,165.193
Albania,Cyprus,3627.6809999999996
Albania,Czechia,97332.144
Albania,Denmark,24499.663
Albania,Dominican Rep.,574.079
Albania,Ecuador,24416.058
Albania,Ethiopia,567.782
Albania,Estonia,2133.237
Albania,Falkland Isds (Malvinas),1276.811
Albania,Finland,9625.605
Albania,France,120231.441
Albania,Gabon,163.076
Albania,Georgia,59.611
Albania,Gambia,2.979
Albania,Germany,594143.084
Albania,Greece,886202.259
Albania,Guatemala,114.651
Albania,Guyana,6.078
Albania,Honduras,245.346
Albania,"China, Hong Kong SAR",4840.306
Albania,Hungary,135519.344
Albania,Iceland,1.083
Albania,Indonesia,22809.365
Albania,Iran,1889.592
Albania,Ireland,24510.033
Albania,Israel,31340.725
Albania,Italy,2003891.229
Albania,CÃ´te d'Ivoire,2234.707
Albania,Jamaica,15.114
Albania,Japan,35150.35
Albania,Kazakhstan,6886.346
Albania,Jordan,574.747
Albania,Kenya,111.062
Albania,Rep. of Korea,200965.21
Albania,Kuwait,9876.115
Albania,Lao People's Dem. Rep.,36.159
Albania,Latvia,3504.904
Albania,Libya,20998.777
Albania,Lithuania,13034.280999999999
Albania,Luxembourg,1465.294
Albania,Madagascar,49.992
Albania,Malaysia,22825.23
Albania,Malta,1082.6139999999998
Albania,Mauritius,121.134
Albania,Mexico,5340.099
Albania,"Other Asia, nes",13337.23
Albania,Rep. of Moldova,3074.795
Albania,Montenegro,32057.688
Albania,Morocco,9216.135
Albania,Mozambique,4.605
Albania,Oman,15691.226
Albania,Namibia,7.625
Albania,Netherlands,133770.913
Albania,New Zealand,646.337
Albania,Nicaragua,70.528
Albania,Nigeria,4634.541
Albania,Norway,8640.116
Albania,Pakistan,10953.367
Albania,Panama,36.28
Albania,Paraguay,18976.277000000002
Albania,Peru,1416.887
Albania,Philippines,769.394
Albania,Poland,196831.525
Albania,Portugal,16250.393
Albania,Qatar,5794.089
Albania,Romania,107763.946
Albania,Russian Federation,32109.201999999997
Albania,Rwanda,15.351
Albania,San Marino,733.308
Albania,Saudi Arabia,203349.723
Albania,Senegal,937.81
Albania,Serbia,369645.676
Albania,India,129725.447
Albania,Singapore,3201.524
Albania,Slovakia,52715.658
Albania,Viet Nam,28287.341
Albania,Slovenia,104941.87700000001
Albania,South Africa,5016.186
Albania,Spain,117609.29
Albania,Sweden,23055.022
Albania,Switzerland,109967.061
Albania,Syria,95.062
Albania,Thailand,30487.14
Albania,United Arab Emirates,1435.291
Albania,Tunisia,13025.955
Albania,TÃ¼rkiye,955558.263
Albania,Turkmenistan,1520.468
Albania,Uganda,1533.481
Albania,Ukraine,35131.705
Albania,North Macedonia,124367.973
Albania,Egypt,100755.998
Albania,United Kingdom,83868.113
Albania,United Rep. of Tanzania,78.742
Albania,USA,209136.876
Albania,Uruguay,207.427
Albania,Uzbekistan,84.19500000000001
Albania,Venezuela,21.239
Albania,Zambia,148.65
Algeria,Angola,130.564
Algeria,Azerbaijan,2538.731
Algeria,Argentina,850722.7640000001
Algeria,Australia,50315.867
Algeria,Austria,170522.641
Algeria,Bahrain,348201.518
Algeria,Armenia,26.112
Algeria,Belgium,708887.314
Algeria,Bolivia (Plurinational State of),23.574
Algeria,Bosnia Herzegovina,13205.451
