"";"name";"region";"color";"strength";"eigenv";"between";"closen"
"Austria";"Austria";"E";"skyblue";173586536;0,144746391974916;0;0,282248210130663
"Belgium";"Belgium";"E";"skyblue";289017717;0,278230215297219;0;0,280361585932281
"Bulgaria";"Bulgaria";"E";"skyblue";32472867;0,0214928565578426;0;0,123457050309425
"China";"China";"A";"gold";1405366918;1;446;0,322819090840649
"HongKong";"HongKong";"A";"gold";492094688;0,688082534719797;70;0,31412042579284
"Macao";"Macao";"A";"gold";1518917;0,0102133102637296;0;0,0342367014181131
"Taiwan";"Taiwan";"A";"gold";280947481;0,305932992151892;0;0,293868840640844
"Croatia";"Croatia";"E";"skyblue";17985244;0,0161414807188512;0;0,0694572175255517
"Cyprus";"Cyprus";"E";"skyblue";1532697;0,00357747161853119;0;0,00892141573231267
"Czechia";"Czechia";"E";"skyblue";229482468;0,162032221242471;0;0,295863092323891
"Denmark";"Denmark";"E";"skyblue";101579896;0,0751278085015496;0;0,210755107943607
"Estonia";"Estonia";"E";"skyblue";15695768;0,00768623719073512;0;0,0552385082851762
"Finland";"Finland";"E";"skyblue";56831425;0,0384159224748986;34;0,146161209836013
"France";"France";"E";"skyblue";464591816;0,3971004305651;2;0,296312163387154
"Germany";"Germany";"E";"skyblue";1264291919;0,722960304964844;1066;0,335686390175374
"Greece";"Greece";"E";"skyblue";33243793;0,0348769430340524;70;0,106398676405983
"Hungary";"Hungary";"E";"skyblue";136365566;0,0983075555455038;0;0,261204410788275
"India";"India";"A";"gold";128085561;0,214056721501757;0;0,217525158945788
"Ireland";"Ireland";"E";"skyblue";138788990;0,0879651407182772;0;0,221773238097058
"Italy";"Italy";"E";"skyblue";453716654;0,323538027274907;66;0,293100655623731
"Japan";"Japan";"A";"gold";353950190;0,386726500566512;0;0,295860305087352
"Latvia";"Latvia";"E";"skyblue";15894513;0,0078976730055099;0;0,0481873361713154
"Lithuania";"Lithuania";"E";"skyblue";30062305;0,0175579495849929;35;0,0855007284887924
"Luxembourg";"Luxembourg";"E";"skyblue";13709323;0,0157174363089283;0;0,0784401544561424
"Malta";"Malta";"E";"skyblue";2339646;0,00821298954959341;0;0,0168402811428869
"Netherlands";"Netherlands";"E";"skyblue";764149962;0,50976592142392;76;0,319059360532865
"Norway";"Norway";"E";"skyblue";150032046;0,0739047262643797;0;0,236132995511923
"Poland";"Poland";"E";"skyblue";316533996;0,259725143009061;100;0,303518649301358
"Portugal";"Portugal";"E";"skyblue";67134680;0,0536073042928419;0;0,186304179398487
"Korea";"Korea";"A";"gold";326521573;0,37124218844142;0;0,297462028346358
"Romania";"Romania";"E";"skyblue";79581041;0,066286989041948;0;0,213504146082659
"Slovakia";"Slovakia";"E";"skyblue";97059359;0,0605597121515396;0;0,225381977755475
"Slovenia";"Slovenia";"E";"skyblue";66340365;0,0387705353155845;0;0,19752836767522
"Spain";"Spain";"E";"skyblue";285544192;0,22746650683463;70;0,264277784118969
"Sweden";"Sweden";"E";"skyblue";148888605;0,0969155675054916;35;0,216170256437671
"Switzerland";"Switzerland";"E";"skyblue";297701760;0,221314858039611;68;0,279813095716368
"UK";"UK";"E";"skyblue";320202935;0,347459051942496;35;0,270326248605105
