"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Afghanistan";"Asia";"AFG";"AFG";"gold";1323613,369;0,000885040366275094;0;0,00140098224274447
"Albania";"Europe";"ALB";"ALB";"skyblue";2785171,137;0,00131045681891734;0;0,00184961754189017
"Algeria";"Africa";"DZA";"DZA";"tomato";39014103,804;0,0122979454678104;0;0,00233712314708296
"American Samoa";"Oceania";"ASM";"ASM";"orchid";28591,726;1,48554721277789e-05;0;2,89169948982823e-05
"Andorra";"Europe";"AND";"AND";"skyblue";77824,492;0,000125184466998084;0;0,000177628141793821
"Angola";"Africa";"AGO";"AGO";"tomato";34911395,85;0,0130109461965851;0;0,00238342384128623
"Antigua and Barbuda";"Americas";"ATG";"ATG";"palegreen3";183644,36;0,00036254469139442;0;0,000343579610514628
"Azerbaijan";"Asia";"AZE";"AZE";"gold";23140411,49;0,00518517857708454;0;0,0023045585527309
"Argentina";"Americas";"ARG";"ARG";"palegreen3";52337327,64;0,021800526523182;0;0,00235799849778281
"Australia";"Oceania";"AUS";"AUS";"orchid";319775923,893;0,165641701863322;800;0,00244547207235514
"Austria";"Europe";"AUT";"AUT";"skyblue";167808824,749;0,0654880614818006;0;0,00242591733519558
"Bahamas";"Americas";"BHS";"BHS";"palegreen3";2077986,285;0,00377533306233258;0;0,0016428941644773
"Bahrain";"Asia";"BHR";"BHR";"gold";11504661,984;0,00386306168629219;0;0,0020863625249814
"Bangladesh";"Asia";"BGD";"BGD";"gold";41799853,115;0,0240305139075808;201;0,00231878247865186
"Armenia";"Asia";"ARM";"ARM";"gold";11275074,912;0,00303811936481089;201;0,0022169591365304
"Barbados";"Americas";"BRB";"BRB";"palegreen3";305439,275;0,000643194385977988;0;0,000430381298336162
"Belgium";"Europe";"BEL";"BEL";"skyblue";319265532,775;0,113111951956875;201;0,00242557483130713
"Bermuda";"Americas";"BMU";"BMU";"palegreen3";222813,903;0,000965404269520216;0;0,000562885343193573
"Bhutan";"Asia";"BTN";"BTN";"gold";435643,14;0,000183184570730056;0;0,00114478035823585
"Bolivia (Plurinational State of)";"Americas";"BOL";"BOL";"palegreen3";7651612,591;0,00315830326001447;0;0,00184955831528607
"Bosnia Herzegovina";"Europe";"BIH";"BIH";"skyblue";7488434,324;0,00224218014534346;0;0,00180956679913278
"Botswana";"Africa";"BWA";"BWA";"tomato";3727119,058;0,000907635821905868;0;0,00172083770139263
