"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Afghanistan";"Asia";"AFG";"AFG";"gold";1323613,369;0,000911608674825627;0;0,00245910141018491
"Albania";"Europe";"ALB";"ALB";"skyblue";2536931,737;0,00143577979297682;0;0,00405844877991622
"Algeria";"Africa";"DZA";"DZA";"tomato";45953032,277;0,0148232459174798;0;0,00704090387493405
"Andorra";"Europe";"AND";"AND";"skyblue";0;0,000129139841963881;0;NA
"Angola";"Africa";"AGO";"AGO";"tomato";41075771,305;0,0136910793213009;0;0,00744487274260215
"Antigua and Barbuda";"Americas";"ATG";"ATG";"palegreen3";0;0,000272621768474907;0;NA
"Azerbaijan";"Asia";"AZE";"AZE";"gold";25639684,856;0,00580452785120739;0;0,00677457384314333
"Argentina";"Americas";"ARG";"ARG";"palegreen3";77132224,813;0,0248096053883093;0;0,00721865973378542
"Australia";"Oceania";"AUS";"AUS";"orchid";353985125,472;0,17030000242057;358;0,0080313370238492
"Austria";"Europe";"AUT";"AUT";"skyblue";202046308,201;0,0713256393079717;0;0,00784021995895408
"Bahamas";"Americas";"BHS";"BHS";"palegreen3";1909545,025;0,00374645325316522;0;0,00323203201637426
"Bahrain";"Asia";"BHR";"BHR";"gold";16035454,116;0,00451261120122538;0;0,00527373880626309
"Bangladesh";"Asia";"BGD";"BGD";"gold";55837875,557;0,0268769266913285;186;0,00688864924607791
"Armenia";"Asia";"ARM";"ARM";"gold";11676432,605;0,00334241256474938;186;0,00611651320943688
"Barbados";"Americas";"BRB";"BRB";"palegreen3";0;0,00045678442037359;0;NA
"Belgium";"Europe";"BEL";"BEL";"skyblue";376202633,794;0,124566443386946;0;0,0078372091202315
"Bermuda";"Americas";"BMU";"BMU";"palegreen3";182916,621;0,000913776700729893;0;0,000719234171209282
"Bhutan";"Asia";"BTN";"BTN";"gold";435643,14;0,000182036963439601;0;0,001803341957187
"Bolivia (Plurinational State of)";"Americas";"BOL";"BOL";"palegreen3";8130885,829;0,00324446027157923;0;0,00405803225084479
"Bosnia Herzegovina";"Europe";"BIH";"BIH";"skyblue";8147240,934;0,00249320500451446;0;0,00388386418930689
"Botswana";"Africa";"BWA";"BWA";"tomato";3727119,058;0,00109291712872838;0;0,00352281613883988
"Brazil";"Americas";"BRA";"BRA";"palegreen3";347211444,105;0,1578678706767;728;0,00800180140509522
"Belize";"Americas";"BLZ";"BLZ";"palegreen3";0;0,000556085104524114;0;NA
"Solomon Isds";"Oceania";"SLB";"SLB";"orchid";396737,835;0,000286311806704096;0;0,00169608899156042
"Br. Virgin Isds";"Americas";"VGB";"VGB";"palegreen3";0;0,000238966650885152;0;NA
"Brunei Darussalam";"Asia";"BRN";"BRN";"gold";11085429,276;0,00309751635366546;0;0,0047074038169217
"Bulgaria";"Europe";"BGR";"BGR";"skyblue";48963375,109;0,0115015249568243;0;0,00667140378540729
"Myanmar";"Asia";"MMR";"MMR";"gold";18077801,758;0,00897362521117847;0;0,00631998482631374
"Belarus";"Europe";"BLR";"BLR";"skyblue";5003282,355;0,00474626354985535;0;0,00442001468391751
"Cambodia";"Asia";"KHM";"KHM";"gold";34290445,342;0,0196160027921724;0;0,00719334467492004
"Cameroon";"Africa";"CMR";"CMR";"tomato";6164721,23;0,00330466666920552;174;0,00387561973502306
"Canada";"Americas";"CAN";"CAN";"palegreen3";569048558,879;0,45925793753323;0;0,00802949171463885
"Cabo Verde";"Africa";"CPV";"CPV";"tomato";0;5,88940792999037e-06;0;NA
"Cayman Isds";"Americas";"CYM";"CYM";"palegreen3";1809850,568;0,00146460107145301;0;0,00436811119123793
"Central African Rep.";"Africa";"CAF";"CAF";"tomato";0;8,28579060091669e-05;0;NA
"Sri Lanka";"Asia";"LKA";"LKA";"gold";10729667,393;0,00632845694494016;0;0,00542924969603797
"Chad";"Africa";"TCD";"TCD";"tomato";3231688,523;0,000932560242821016;0;0,00323530964991858
"Chile";"Americas";"CHL";"CHL";"palegreen3";98911170,563;0,0548666685738263;0;0,00781579084442172
"China";"Asia";"CHN";"CHN";"gold";3603856310,084;0,855458699966346;25122;0,0081264126872581
"Colombia";"Americas";"COL";"COL";"palegreen3";48372118,024;0,0322447534526381;0;0,00730229290629114
"Congo";"Africa";"COG";"COG";"tomato";7722757,959;0,00325913839683464;0;0,00599270744701472
