"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Afghanistan";"Asia";"AFG";"AFG";"gold";1615214,623;0,00100991877583987;0;0,000489871801597511
"Albania";"Europe";"ALB";"ALB";"skyblue";3930716,042;0,00171322341627708;0;0,000540985526792978
"Algeria";"Africa";"DZA";"DZA";"tomato";48039608,084;0,0149807063580035;0;0,000580444676003085
"American Samoa";"Oceania";"ASM";"ASM";"orchid";32538,695;2,27907519825688e-05;0;2,5146698900769e-05
"Andorra";"Europe";"AND";"AND";"skyblue";109559,271;0,000175888889296079;0;0,000133030656828426
"Angola";"Africa";"AGO";"AGO";"tomato";42285090,254;0,0137839652764734;0;0,000583557338501335
"Antigua and Barbuda";"Americas";"ATG";"ATG";"palegreen3";217115,449;0,00038864403446557;0;0,000222796365208051
"Azerbaijan";"Asia";"AZE";"AZE";"gold";27102277,039;0,00600860057510569;0;0,000578177565902076
"Argentina";"Americas";"ARG";"ARG";"palegreen3";79931917,799;0,0249050611133587;0;0,000581857356276961
"Australia";"Oceania";"AUS";"AUS";"orchid";357389546,818;0,170342852143766;1558;0,000587658942758969
"Austria";"Europe";"AUT";"AUT";"skyblue";205128559,07;0,0713868821400222;0;0,000586378468988238
"Bahamas";"Americas";"BHS";"BHS";"palegreen3";2357190,253;0,00388118624546594;224;0,000519694941124689
"Bahrain";"Asia";"BHR";"BHR";"gold";18156800,78;0,00472677871014105;0;0,000561742545583091
"Bangladesh";"Asia";"BGD";"BGD";"gold";58762121,141;0,0269900946643177;447;0,000579179460505545
"Armenia";"Asia";"ARM";"ARM";"gold";13361658,303;0,00365536055203748;224;0,000571850797969675
"Barbados";"Americas";"BRB";"BRB";"palegreen3";440719,499;0,000683395584016456;224;0,000260796202862503
"Belgium";"Europe";"BEL";"BEL";"skyblue";380560365,179;0,124594606769706;224;0,000586359424481765
"Bermuda";"Americas";"BMU";"BMU";"palegreen3";247378,136;0,000983624925660742;0;0,000310042743288013
"Bhutan";"Asia";"BTN";"BTN";"gold";461085,158;0,000239795128096451;0;0,000450592779681758
"Bolivia (Plurinational State of)";"Americas";"BOL";"BOL";"palegreen3";9048777,713;0,0034396666372654;0;0,000540969161121642
"Bosnia Herzegovina";"Europe";"BIH";"BIH";"skyblue";9528865,27;0,00270284132256644;0;0,00053710066381904
"Botswana";"Africa";"BWA";"BWA";"tomato";4174071,578;0,00120091673717605;0;0,000528116205123793
"Brazil";"Americas";"BRA";"BRA";"palegreen3";350305232,86;0,157895652695067;893;0,00058743827746364
"Belize";"Americas";"BLZ";"BLZ";"palegreen3";431383,043;0,00067563478394714;0;0,000282318635734725
"Br. Indian Ocean Terr.";"Asia";"IOT";"IOT";"gold";14366,156;7,94698451541632e-06;0;4,69852769460106e-05
"Solomon Isds";"Oceania";"SLB";"SLB";"orchid";678493,67;0,000348367758300496;0;0,000442026087173368
"Br. Virgin Isds";"Americas";"VGB";"VGB";"palegreen3";202354,025;0,000342022038633231;0;0,000167917026909078
"Brunei Darussalam";"Asia";"BRN";"BRN";"gold";11469666,574;0,00322984854410938;0;0,00055323896593797
"Bulgaria";"Europe";"BGR";"BGR";"skyblue";51973180,534;0,0117429793712217;0;0,000577263222595032
"Myanmar";"Asia";"MMR";"MMR";"gold";19979771,077;0,00922680855451872;0;0,00057394116351539
"Burundi";"Africa";"BDI";"BDI";"tomato";68168,783;8,01401742326928e-05;0;8,68526400318538e-05
"Belarus";"Europe";"BLR";"BLR";"skyblue";6270550,59;0,00489642840205996;0;0,000548191256310964
"Cambodia";"Asia";"KHM";"KHM";"gold";36087517,557;0,0197619677472441;0;0,000581676946448032
"Cameroon";"Africa";"CMR";"CMR";"tomato";6916336,107;0,00345539036571332;224;0,000536871245434519
