"name";"continent";"iso3";"label";"color";"strength";"eigenv";"between";"closen"
"Afghanistan";"Asia";"AFG";"AFG";"gold";5278882,316;0,000911607182334634;0;0,00395130268216994
"Albania";"Europe";"ALB";"ALB";"skyblue";7088113,784;0,00143580822848479;0;0,00433633342533735
"Algeria";"Africa";"DZA";"DZA";"tomato";41977793,688;0,0148232597175226;0;0,00630765926600205
"Andorra";"Europe";"AND";"AND";"skyblue";1643105,676;0,000129139861034078;0;0,00364077538164166
"Angola";"Africa";"AGO";"AGO";"tomato";12976331,261;0,0136910662726849;0;0,00472330691754896
"Antigua and Barbuda";"Americas";"ATG";"ATG";"palegreen3";492628,418;0,000272621323741937;0;0,00202971334344487
"Azerbaijan";"Asia";"AZE";"AZE";"gold";22185540,73;0,0058207961605451;0;0,00526778981938023
"Argentina";"Americas";"ARG";"ARG";"palegreen3";57821189,399;0,024809591476833;0;0,00630707394587828
"Australia";"Oceania";"AUS";"AUS";"orchid";284608884,509;0,170299840333615;361;0,00683761201437822
"Austria";"Europe";"AUT";"AUT";"skyblue";206212001,716;0,0713257527047924;0;0,006829009764254
"Bahamas";"Americas";"BHS";"BHS";"palegreen3";6739489,986;0,00374644720328277;0;0,00553195431923333
"Bahrain";"Asia";"BHR";"BHR";"gold";15102117,243;0,00451261473791088;0;0,00464408210816853
"Bangladesh";"Asia";"BGD";"BGD";"gold";61931350,75;0,0268769105861196;192;0,00661414756122128
"Armenia";"Asia";"ARM";"ARM";"gold";15000262,716;0,0033424091936128;192;0,00611856103492035
"Barbados";"Americas";"BRB";"BRB";"palegreen3";1279664,496;0,000456783673839481;0;0,00283739118485684
"Belgium";"Europe";"BEL";"BEL";"skyblue";435718733,594;0,124568304392321;0;0,00681177577305889
"Bermuda";"Americas";"BMU";"BMU";"palegreen3";2989019,839;0,000913775248540757;0;0,00440711568015674
"Bhutan";"Asia";"BTN";"BTN";"gold";1173018,502;0,000182036620984117;0;0,00346636219234646
"Bolivia (Plurinational State of)";"Americas";"BOL";"BOL";"palegreen3";8285225,443;0,00324445660526257;0;0,00452486802163346
"Bosnia Herzegovina";"Europe";"BIH";"BIH";"skyblue";14835790,213;0,00249323229941951;0;0,00422780419987474
"Botswana";"Africa";"BWA";"BWA";"tomato";5893042,167;0,00109291605466511;0;0,00525627860468869
"Brazil";"Americas";"BRA";"BRA";"palegreen3";273519541,1;0,157867752550712;743;0,00683324177735841
"Belize";"Americas";"BLZ";"BLZ";"palegreen3";1267367,042;0,00055608494961905;0;0,00251851610553945
"Solomon Isds";"Oceania";"SLB";"SLB";"orchid";208044,56;0,000286311334755318;0;0,00103798172082409
"Br. Virgin Isds";"Americas";"VGB";"VGB";"palegreen3";463282,467;0,00023896625929657;0;0,00118490133531666
"Brunei Darussalam";"Asia";"BRN";"BRN";"gold";6877743,461;0,00309751572423783;0;0,0046818626340547
"Bulgaria";"Europe";"BGR";"BGR";"skyblue";50696183,131;0,0115021319406449;0;0,00573666734193278
"Myanmar";"Asia";"MMR";"MMR";"gold";19743439,697;0,00897362164086718;0;0,00603763707024814
"Belarus";"Europe";"BLR";"BLR";"skyblue";14890705,952;0,00474627341055156;0;0,00589123816705459
"Cambodia";"Asia";"KHM";"KHM";"gold";36069413,992;0,0196159847325669;0;0,00639367060080185
"Cameroon";"Africa";"CMR";"CMR";"tomato";6328662,106;0,00330466337182205;171;0,00525763820492385
"Canada";"Americas";"CAN";"CAN";"palegreen3";530692376,733;0,45925857085458;171;0,0069371615185285
"Cabo Verde";"Africa";"CPV";"CPV";"tomato";410606,541;5,88940779244712e-06;0;0,00175371159766688
"Cayman Isds";"Americas";"CYM";"CYM";"palegreen3";5881166,616;0,00146460222624405;0;0,00462080176078716
"Central African Rep.";"Africa";"CAF";"CAF";"tomato";380139,839;8,28577690590726e-05;0;0,000975133671270818
"Sri Lanka";"Asia";"LKA";"LKA";"gold";17444538,633;0,00632845182471054;0;0,00546973399128409
"Chad";"Africa";"TCD";"TCD";"tomato";373789,136;0,000932559864262555;0;0,00166540233937834
"Chile";"Americas";"CHL";"CHL";"palegreen3";80536058,886;0,0548665949629946;0;0,00655468981657922
"China";"Asia";"CHN";"CHN";"gold";2088319402,364;0,855458685376634;25212;0,00694476742071284
"Colombia";"Americas";"COL";"COL";"palegreen3";60458107,099;0,03224472359972;0;0,00651412999304802
"Congo";"Africa";"COG";"COG";"tomato";2657745,5;0,00325914133190478;0;0,00404632591479503
"Dem. Rep. of the Congo";"Africa";"COD";"COD";"tomato";10039823,624;0,0134588309881104;0;0,00545270754573431
"Costa Rica";"Americas";"CRI";"CRI";"palegreen3";21929069,365;0,0145956875302776;0;0,00612653420724896
"Croatia";"Europe";"HRV";"HRV";"skyblue";44723409,507;0,00695645723573014;0;0,0058871204014636
"Cuba";"Americas";"CUB";"CUB";"palegreen3";2816239,217;0,000888792275930234;0;0,00287568534109622
"Cyprus";"Asia";"CYP";"CYP";"gold";13174514,098;0,00159431113062094;192;0,00472939937026969
"Czechia";"Europe";"CZE";"CZE";"skyblue";228317213,116;0,0750496954713139;0;0,00678157976930392
"Benin";"Africa";"BEN";"BEN";"tomato";2905031,333;0,000740960540299634;0;0,00292840385930965
"Denmark";"Europe";"DNK";"DNK";"skyblue";122562960,455;0,0382885357986743;362;0,00662208157400163
"Dominican Rep.";"Americas";"DOM";"DOM";"palegreen3";30441956,611;0,0163150194638501;0;0,00638496477958653
"Ecuador";"Americas";"ECU";"ECU";"palegreen3";26308475,937;0,0181192945950482;0;0,0059127804200688
"El Salvador";"Americas";"SLV";"SLV";"palegreen3";14855579,82;0,0057627875684686;0;0,00550274365772582
"Equatorial Guinea";"Africa";"GNQ";"GNQ";"tomato";326449,914;0,000873906021656099;0;0,000870795738538336
"Ethiopia";"Africa";"ETH";"ETH";"tomato";5750014,836;0,00250331854278831;0;0,00510273664324591
"Eritrea";"Africa";"ERI";"ERI";"tomato";159573,991;0,00028942516246781;0;0,000824146599893767
"Estonia";"Europe";"EST";"EST";"skyblue";22391840,688;0,00449899796880683;0;0,00476678639887588
